par_cz,kid_race,par_pctile,shrunk_xkid_mtabalance2020,cz_name
26107,Black,50,41230,Kirksville
26107,Asian,50,135200,Kirksville
26107,Hispanic,-9,67810,Kirksville
26107,Asian,75,141600,Kirksville
26107,Asian,-9,135200,Kirksville
26107,Hispanic,50,67810,Kirksville
26107,White,50,67481.48115873621,Kirksville
26107,White,-9,66419.75429975431,Kirksville
26107,Black,-9,41230,Kirksville
26107,Pooled,-9,67254.66357308584,Kirksville
26201,Black,75,144400,Bismarck
26201,AIAN,-9,21306.54545454546,Bismarck
26201,Pooled,50,113339.7916268309,Bismarck
26201,Asian,25,74585,Bismarck
26201,Hispanic,25,53980.58823529412,Bismarck
26201,Black,-9,133000,Bismarck
26201,Asian,75,108475,Bismarck
26201,Pooled,-9,120411.932998325,Bismarck
26201,Black,25,121600,Bismarck
26201,Hispanic,75,95325.29411764706,Bismarck
26201,Hispanic,-9,74652.94117647059,Bismarck
26201,Pooled,25,91539.09421487604,Bismarck
26201,AIAN,75,34047.14285714286,Bismarck
26201,Hispanic,50,74652.94117647059,Bismarck
26201,Asian,50,91530,Bismarck
26201,AIAN,25,15360.93333333333,Bismarck
26201,White,50,118493.2946573035,Bismarck
26201,White,-9,125485.8188362328,Bismarck
26201,Asian,-9,91530,Bismarck
26201,White,75,137760.2992957747,Bismarck
26201,Pooled,75,135140.4890387859,Bismarck
26201,AIAN,50,24704.03809523809,Bismarck
26201,Black,50,133000,Bismarck
26201,White,25,99226.2900188324,Bismarck
26202,Pooled,50,91145,East Grant UT
26202,Pooled,25,77490,East Grant UT
26202,Pooled,75,104800,East Grant UT
26202,White,50,91145,East Grant UT
26202,White,-9,84842.69230769231,East Grant UT
26202,White,25,77490,East Grant UT
26202,White,75,104800,East Grant UT
26202,Pooled,-9,84842.69230769231,East Grant UT
26203,Pooled,25,107287.3809523809,Linton
26203,White,-9,118775.7142857143,Linton
26203,Pooled,75,141752.3809523809,Linton
26203,Pooled,-9,118775.7142857143,Linton
26203,White,25,107287.3809523809,Linton
26203,Pooled,50,124519.8809523809,Linton
26203,White,50,124519.8809523809,Linton
26203,White,75,141752.3809523809,Linton
26204,White,25,99680,Steele
26204,Pooled,25,99680,Steele
26204,White,-9,112347.8260869565,Steele
26204,White,50,117890,Steele
26204,Pooled,75,136100,Steele
26204,Pooled,-9,112347.8260869565,Steele
26204,White,75,136100,Steele
26204,Pooled,50,117890,Steele
26301,White,75,126526.213592233,Devils Lake
26301,Pooled,75,111674.1463414634,Devils Lake
26301,AIAN,-9,6197.666666666667,Devils Lake
26301,White,25,75000.85106382979,Devils Lake
26301,Pooled,25,54316.86956521739,Devils Lake
26301,AIAN,25,3599.111111111111,Devils Lake
26301,Hispanic,50,53242.5,Devils Lake
26301,Pooled,50,82995.50795334041,Devils Lake
26301,White,-9,101940.5076142132,Devils Lake
26301,Hispanic,25,39510,Devils Lake
26301,White,50,100763.5323280314,Devils Lake
26301,AIAN,75,13993.33333333333,Devils Lake
26301,Hispanic,75,66975,Devils Lake
26301,Hispanic,-9,53242.5,Devils Lake
26301,Pooled,-9,81347.31034482758,Devils Lake
26301,AIAN,50,8796.222222222223,Devils Lake
